Customer_ID,Age,Shade,Purchase_Date,Price_NPR,Brand
1,22,Mahogany,2024-10-16,700,BBlunt
2,19,Blue Black,2023-04-25,550,Revlon
3,28,Dark Brown,2023-01-26,900,Revlon
4,26,Dark Brown,2025-01-29,900,L’Oreal
5,23,Mahogany,2023-10-09,900,Streax
6,28,Red Wine,2023-09-08,750,L’Oreal
7,20,Ash Brown,2023-08-17,750,BBlunt
8,22,Red Wine,2023-05-23,900,L’Oreal
9,25,Blue Black,2025-01-24,700,L’Oreal
10,18,Red Wine,2023-04-15,750,Streax
11,22,Blonde,2024-11-23,850,Schwarzkopf
12,26,Mahogany,2025-01-28,700,Godrej
13,26,Blue Black,2024-07-12,650,BBlunt
14,23,Blue Black,2023-03-31,750,Streax
15,20,Copper,2024-08-27,700,BBlunt
16,19,Blue Black,2024-03-08,650,BBlunt
17,23,Copper,2023-02-02,750,L’Oreal
18,23,Burgundy,2023-01-31,650,Schwarzkopf
19,18,Dark Brown,2023-04-06,800,L’Oreal
20,21,Copper,2023-08-12,750,Revlon
21,20,Mahogany,2023-08-27,800,Garnier
22,17,Red Wine,2024-06-01,550,Garnier
23,23,Copper,2024-09-08,550,Streax
24,27,Blue Black,2023-01-28,700,Garnier
25,21,Mahogany,2024-07-28,600,Streax
26,17,Copper,2023-07-23,800,Godrej
27,27,Copper,2025-01-03,800,L’Oreal
28,20,Blue Black,2024-10-27,550,Revlon
29,16,Blonde,2024-12-19,800,Revlon
30,27,Blonde,2024-07-12,600,Garnier
31,25,Copper,2024-03-05,900,Schwarzkopf
32,21,Blonde,2023-08-14,650,Godrej
33,28,Ash Brown,2024-04-04,650,Streax
34,27,Blue Black,2024-08-26,600,Godrej
35,24,Ash Brown,2023-10-12,800,Garnier
36,16,Mahogany,2025-04-08,800,Streax
37,26,Ash Brown,2023-01-07,800,Streax
38,26,Mahogany,2025-02-16,850,Garnier
39,25,Copper,2025-04-05,700,L’Oreal
40,27,Mahogany,2023-06-13,750,Schwarzkopf
41,27,Mahogany,2024-12-15,600,Godrej
42,18,Red Wine,2024-03-08,600,Revlon
43,27,Ash Brown,2023-12-15,850,Garnier
44,22,Red Wine,2023-10-12,600,L’Oreal
45,19,Copper,2023-06-09,900,Revlon
46,24,Blue Black,2023-08-09,900,Godrej
47,18,Ash Brown,2025-02-20,600,Garnier
48,20,Blue Black,2023-12-11,850,Streax
49,18,Blue Black,2023-04-15,600,Schwarzkopf
50,22,Mahogany,2023-04-05,800,Garnier
51,20,Dark Brown,2024-01-25,850,Schwarzkopf
52,24,Ash Brown,2023-04-10,700,L’Oreal
53,22,Blue Black,2024-01-03,550,L’Oreal
54,17,Dark Brown,2025-05-17,800,Godrej
55,19,Blonde,2023-12-19,900,Schwarzkopf
56,24,Blue Black,2024-09-10,800,Garnier
57,27,Blonde,2023-09-28,750,L’Oreal
58,17,Ash Brown,2025-04-06,850,Garnier
59,25,Copper,2023-02-14,900,Godrej
60,24,Red Wine,2025-01-17,550,Schwarzkopf
61,25,Ash Brown,2024-04-15,600,Garnier
62,20,Red Wine,2024-07-03,550,Revlon
63,17,Red Wine,2023-05-08,700,Garnier
64,19,Ash Brown,2024-01-23,650,BBlunt
65,27,Blue Black,2023-03-22,800,BBlunt
66,27,Burgundy,2024-07-19,850,Streax
67,22,Blue Black,2023-10-28,850,Godrej
68,27,Blue Black,2025-04-29,550,Godrej
69,28,Copper,2024-10-05,750,Godrej
70,23,Mahogany,2024-09-25,900,Revlon
71,18,Mahogany,2025-06-01,700,Schwarzkopf
72,16,Blue Black,2024-01-06,650,Revlon
73,19,Blonde,2024-08-14,700,Streax
74,17,Copper,2023-07-16,850,Garnier
75,23,Red Wine,2024-12-22,600,L’Oreal
76,19,Dark Brown,2023-03-13,650,Schwarzkopf
77,17,Mahogany,2023-02-16,900,BBlunt
78,21,Blue Black,2024-11-08,900,BBlunt
79,21,Copper,2023-08-22,850,Streax
80,25,Burgundy,2025-03-02,750,BBlunt
81,19,Blonde,2023-10-24,650,Streax
82,21,Ash Brown,2023-03-23,850,Garnier
83,28,Blue Black,2025-05-25,750,Garnier
84,17,Copper,2023-08-27,600,Godrej
85,25,Blue Black,2023-04-14,750,L’Oreal
86,27,Dark Brown,2024-01-25,700,Godrej
87,17,Red Wine,2023-10-12,550,Garnier
88,25,Blonde,2024-04-09,700,Revlon
89,19,Mahogany,2024-10-12,900,Godrej
90,23,Mahogany,2025-05-04,850,Schwarzkopf
91,22,Mahogany,2024-01-09,850,Garnier
92,27,Dark Brown,2023-06-16,800,Garnier
93,24,Ash Brown,2024-01-15,700,Revlon
94,23,Copper,2023-12-30,650,Revlon
95,20,Blonde,2023-08-03,900,Revlon
96,28,Blonde,2024-11-17,600,L’Oreal
97,17,Mahogany,2023-10-01,900,Schwarzkopf
98,20,Mahogany,2024-12-19,800,Garnier
99,23,Red Wine,2024-11-30,800,Revlon
100,25,Dark Brown,2024-10-25,800,L’Oreal
101,24,Burgundy,2023-03-15,850,BBlunt
102,27,Burgundy,2024-09-15,550,Schwarzkopf
103,27,Blue Black,2024-10-12,750,Streax
104,27,Blue Black,2023-06-25,650,Streax
105,28,Blonde,2024-06-30,900,BBlunt
106,24,Blonde,2025-01-16,850,BBlunt
107,28,Ash Brown,2023-09-08,900,Garnier
108,28,Ash Brown,2023-06-17,600,L’Oreal
109,16,Burgundy,2024-04-18,850,L’Oreal
110,24,Dark Brown,2024-01-24,550,BBlunt
111,22,Blue Black,2023-10-04,900,Schwarzkopf
112,24,Burgundy,2024-10-17,850,Godrej
113,23,Dark Brown,2024-12-05,850,BBlunt
114,16,Burgundy,2024-07-24,700,Garnier
115,27,Blue Black,2023-08-13,600,BBlunt
116,23,Copper,2024-12-02,800,Schwarzkopf
117,23,Ash Brown,2023-11-29,600,Schwarzkopf
118,26,Red Wine,2025-05-13,600,BBlunt
119,18,Red Wine,2025-02-25,700,L’Oreal
120,16,Red Wine,2025-03-05,750,BBlunt
121,23,Blue Black,2023-02-27,850,Revlon
122,18,Mahogany,2023-08-23,650,Revlon
123,18,Mahogany,2025-04-21,800,Godrej
124,16,Mahogany,2023-02-02,900,Garnier
125,26,Blonde,2025-04-04,750,Garnier
126,20,Ash Brown,2023-11-20,550,Streax
127,25,Ash Brown,2024-02-15,850,L’Oreal
128,22,Copper,2023-10-02,800,Garnier
129,25,Copper,2023-03-09,650,Godrej
130,24,Blonde,2023-08-05,850,Revlon
131,27,Burgundy,2024-08-03,550,L’Oreal
132,22,Dark Brown,2025-01-05,700,Schwarzkopf
133,24,Copper,2023-11-19,750,Revlon
134,23,Red Wine,2023-08-06,850,Godrej
135,27,Mahogany,2024-11-02,800,L’Oreal
136,17,Red Wine,2024-05-26,600,BBlunt
137,16,Mahogany,2024-02-10,900,Garnier
138,22,Red Wine,2024-10-20,900,Godrej
139,22,Burgundy,2024-04-14,900,L’Oreal
140,23,Dark Brown,2023-05-27,650,Revlon
141,20,Red Wine,2023-09-29,850,L’Oreal
142,18,Red Wine,2023-05-23,900,BBlunt
143,27,Blue Black,2023-09-10,800,Godrej
144,23,Dark Brown,2025-02-01,600,L’Oreal
145,21,Red Wine,2024-07-28,800,Schwarzkopf
146,26,Blue Black,2024-07-05,850,Godrej
147,18,Ash Brown,2023-09-27,550,Godrej
148,16,Dark Brown,2025-02-03,600,Revlon
149,18,Blonde,2024-08-21,600,Streax
150,20,Dark Brown,2024-03-14,800,Garnier
151,18,Dark Brown,2024-08-20,700,Streax
152,16,Red Wine,2024-02-13,850,Schwarzkopf
153,20,Ash Brown,2024-01-06,900,BBlunt
